Episode, (Transfer RGB), (Transfer RGBD)
279,2.87E-01,8.27E+00
280,2.50E-01,6.73E+00
281,1.25E+00,1.13E+01
282,3.25E-01,1.19E+01
283,1.50E+00,1.07E+01
284,1.04E+00,1.07E+01
285,2.72E-01,4.85E+00
286,1.21E+00,9.48E+00
287,2.20E+00,1.08E+01
288,1.94E-01,9.05E+00
289,2.00E+00,1.62E+01
290,1.49E+00,9.87E+00
291,9.71E-01,3.90E+00
292,1.43E+00,1.00E+01
293,2.68E-01,8.75E+00
294,3.99E-01,3.90E+00
295,9.07E-02,4.78E+00
296,3.47E-01,7.01E+00
297,7.54E+00,1.28E+01
298,1.31E+01,9.50E+00
299,3.45E-01,1.60E+01
300,5.81E+00,1.22E+01
301,7.52E+00,1.57E+01
302,5.38E-02,1.57E+01
303,3.58E+00,1.57E+01
304,1.28E+01,1.69E+01
305,1.28E+01,5.89E+00
306,1.10E+01,1.04E+01
307,9.88E-01,7.55E+00
308,5.64E-01,6.84E+00
309,1.34E-01,1.60E+01
310,3.93E-01,1.19E+01
311,3.54E+00,8.19E+00
312,3.45E+00,3.14E+00
313,6.36E+00,5.72E+00
314,6.04E+00,9.79E+00
315,9.06E+00,2.59E+00
316,9.16E+00,7.38E+00
317,9.16E+00,6.04E+00
318,9.16E+00,1.22E+01
319,9.16E+00,1.40E+01
320,1.18E+01,1.09E+00
321,1.12E+01,7.72E+00
322,2.74E-01,1.14E+01
323,5.51E+00,6.28E+00
324,3.57E-01,1.09E+01
325,6.33E+00,3.79E+00
326,1.35E+01,7.41E+00
327,5.16E+00,6.70E+00
328,1.06E-01,3.04E+00
329,3.95E+00,7.12E+00
330,5.10E+00,7.12E+00
331,6.09E-01,1.18E+01
332,3.38E+00,9.72E+00
333,3.38E+00,8.08E+00
334,1.38E+01,1.23E+01
335,1.38E+01,1.52E+01
336,3.49E+00,1.52E+01
337,6.49E+00,1.52E+01
338,6.13E+00,1.11E+01
339,5.16E-01,7.08E+00
340,1.12E+01,1.57E+01
341,1.70E-01,1.57E+01
342,2.81E-01,5.89E+00
343,1.48E-01,3.04E+00
344,1.21E-01,1.04E+01
345,7.60E+00,9.29E+00
346,1.57E-01,7.56E+00
347,6.99E+00,1.29E+01
348,1.27E+01,7.67E+00
349,1.04E+01,1.22E+01
350,1.45E+01,1.16E+01
351,1.45E+01,9.43E+00
352,1.45E+01,3.19E+00
353,1.45E+01,5.77E+00
354,3.13E+00,1.60E+01
355,3.52E-01,1.05E+01
356,9.82E+00,1.01E+01
