Episode, (Transfer RGB), (Transfer RGBD), (Transfer RGB)/episode, (Transfer RGBD)/episode,,,,,,Episode, (Transfer RGB)/episode, (Transfer RGBD)/episode
146,4.55E+03,5.11E+03,1.60E+01,1.30E+01,,,,,,146,16,13
147,4.56E+03,5.13E+03,1.20E+01,1.70E+01,,,,,,147,12,17
148,4.56E+03,5.15E+03,2.00E+00,2.10E+01,,,,,,148,2,21
149,4.57E+03,5.16E+03,9.00E+00,1.50E+01,,,,,,149,9,15
150,4.57E+03,5.19E+03,0.00E+00,2.40E+01,,,,,,150,0,24
151,4.57E+03,5.21E+03,6.00E+00,2.20E+01,,,,,,151,6,22
152,4.58E+03,5.24E+03,1.00E+00,2.90E+01,,,,,,152,1,29
153,4.58E+03,5.27E+03,2.00E+00,2.80E+01,,,,,,153,2,28
154,4.58E+03,5.28E+03,2.00E+00,1.80E+01,,,,,,154,2,18
155,4.59E+03,5.30E+03,1.10E+01,1.10E+01,,,,,,155,11,11
156,4.60E+03,5.31E+03,1.00E+01,1.50E+01,,,,,,156,10,15
157,4.61E+03,5.32E+03,7.00E+00,5.00E+00,,,,,,157,7,5
158,4.61E+03,5.34E+03,1.00E+00,2.30E+01,,,,,,158,1,23
159,4.62E+03,5.35E+03,1.00E+01,1.20E+01,,,,,,159,10,12
160,4.62E+03,5.35E+03,6.00E+00,4.00E+00,,,,,,160,6,4
161,4.64E+03,5.39E+03,1.40E+01,3.80E+01,,,,,,161,14,38
162,4.65E+03,5.47E+03,1.00E+01,7.70E+01,,,,,,162,10,77
163,4.65E+03,5.54E+03,6.00E+00,7.10E+01,,,,,,163,6,71
164,4.65E+03,5.62E+03,0.00E+00,7.70E+01,,,,,,164,0,77
165,4.66E+03,5.68E+03,3.00E+00,6.00E+01,,,,,,165,3,60
166,4.66E+03,5.74E+03,7.00E+00,6.70E+01,,,,,,166,7,67
167,4.67E+03,5.81E+03,1.00E+01,6.90E+01,,,,,,167,10,69
168,4.68E+03,5.87E+03,2.00E+00,5.60E+01,,,,,,168,2,56
169,4.68E+03,5.93E+03,4.00E+00,5.80E+01,,,,,,169,4,58
170,4.68E+03,5.98E+03,2.00E+00,5.50E+01,,,,,,170,2,55
171,4.68E+03,6.04E+03,0.00E+00,5.30E+01,,,,,,171,0,53
172,4.69E+03,6.09E+03,3.00E+00,5.00E+01,,,,,,172,3,50
173,4.69E+03,6.15E+03,7.00E+00,6.50E+01,,,,,,173,7,65
174,4.69E+03,6.20E+03,2.00E+00,5.00E+01,,,,,,174,2,50
175,4.70E+03,6.26E+03,6.00E+00,6.10E+01,,,,,,175,6,61
176,4.71E+03,6.31E+03,5.00E+00,5.10E+01,,,,,,176,5,51
177,4.71E+03,6.35E+03,4.00E+00,4.10E+01,,,,,,177,4,41
178,4.71E+03,6.36E+03,4.00E+00,5.00E+00,,,,,,178,4,5
179,4.72E+03,6.37E+03,6.00E+00,9.00E+00,,,,,,179,6,9
180,4.72E+03,6.37E+03,2.00E+00,0.00E+00,,,,,,180,2,0
181,4.73E+03,6.38E+03,4.00E+00,1.10E+01,,,,,,181,4,11
182,4.73E+03,6.39E+03,4.00E+00,9.00E+00,,,,,,182,4,9
183,4.73E+03,6.40E+03,4.00E+00,1.70E+01,,,,,,183,4,17
184,4.73E+03,6.42E+03,1.00E+00,1.20E+01,,,,,,184,1,12
185,4.74E+03,6.42E+03,1.00E+00,5.00E+00,,,,,,185,1,5
186,4.74E+03,6.42E+03,3.00E+00,3.00E+00,,,,,,186,3,3
187,4.74E+03,6.43E+03,1.00E+00,1.00E+00,,,,,,187,1,1
188,4.75E+03,6.44E+03,7.00E+00,1.00E+01,,,,,,188,7,10
189,4.75E+03,6.44E+03,4.00E+00,0.00E+00,,,,,,189,4,0
190,4.75E+03,6.44E+03,1.00E+00,0.00E+00,,,,,,190,1,0
191,4.75E+03,6.44E+03,2.00E+00,1.00E+00,,,,,,191,2,1
192,4.76E+03,6.45E+03,2.00E+00,1.20E+01,,,,,,192,2,12
193,4.76E+03,6.46E+03,0.00E+00,1.50E+01,,,,,,193,0,15
194,4.76E+03,6.47E+03,0.00E+00,4.00E+00,,,,,,194,0,4
195,4.76E+03,6.48E+03,2.00E+00,1.10E+01,,,,,,195,2,11
196,4.76E+03,6.48E+03,1.00E+00,0.00E+00,,,,,,196,1,0
197,4.76E+03,6.48E+03,1.00E+00,0.00E+00,,,,,,197,1,0
198,4.76E+03,6.48E+03,0.00E+00,0.00E+00,,,,,,198,0,0
199,4.76E+03,6.49E+03,0.00E+00,1.10E+01,,,,,,199,0,11
200,4.76E+03,6.50E+03,3.00E+00,1.40E+01,,,,,,200,3,14
201,4.76E+03,6.52E+03,1.00E+00,1.70E+01,,,,,,201,1,17
202,4.76E+03,6.54E+03,0.00E+00,1.60E+01,,,,,,202,0,16
203,4.76E+03,6.54E+03,1.00E+00,3.00E+00,,,,,,203,1,3
204,4.76E+03,6.54E+03,0.00E+00,0.00E+00,,,,,,204,0,0
205,4.76E+03,6.54E+03,0.00E+00,0.00E+00,,,,,,205,0,0
206,4.76E+03,6.54E+03,0.00E+00,1.00E+00,,,,,,206,0,1
207,4.77E+03,6.56E+03,1.00E+00,2.10E+01,,,,,,207,1,21
208,4.77E+03,6.60E+03,0.00E+00,3.60E+01,,,,,,208,0,36
209,4.77E+03,6.63E+03,0.00E+00,3.10E+01,,,,,,209,0,31
210,4.77E+03,6.65E+03,0.00E+00,2.20E+01,,,,,,210,0,22
211,4.77E+03,6.68E+03,1.00E+00,3.20E+01,,,,,,211,1,32
212,4.77E+03,6.71E+03,0.00E+00,2.80E+01,,,,,,212,0,28
213,4.77E+03,6.73E+03,0.00E+00,2.10E+01,,,,,,213,0,21
214,4.77E+03,6.76E+03,1.00E+00,2.60E+01,,,,,,214,1,26
215,4.77E+03,6.76E+03,1.00E+00,3.00E+00,,,,,,215,1,3
216,4.77E+03,6.78E+03,3.00E+00,1.50E+01,,,,,,216,3,15
217,4.77E+03,6.80E+03,1.00E+00,2.30E+01,,,,,,217,1,23
218,4.77E+03,6.84E+03,0.00E+00,4.10E+01,,,,,,218,0,41
219,4.77E+03,6.87E+03,1.00E+00,2.80E+01,,,,,,219,1,28
220,4.77E+03,6.89E+03,0.00E+00,2.70E+01,,,,,,220,0,27
221,4.77E+03,6.92E+03,0.00E+00,2.40E+01,,,,,,221,0,24
222,4.77E+03,6.94E+03,0.00E+00,2.40E+01,,,,,,222,0,24
223,4.77E+03,6.95E+03,1.00E+00,1.00E+01,,,,,,223,1,10
224,4.78E+03,6.95E+03,2.00E+00,0.00E+00,,,,,,224,2,0
225,4.78E+03,6.96E+03,0.00E+00,1.20E+01,,,,,,225,0,12
226,4.78E+03,6.97E+03,0.00E+00,6.00E+00,,,,,,226,0,6
227,4.78E+03,6.97E+03,2.00E+00,0.00E+00,,,,,,227,2,0
228,4.79E+03,6.97E+03,1.00E+01,0.00E+00,,,,,,228,10,0
229,4.79E+03,6.97E+03,6.00E+00,2.00E+00,,,,,,229,6,2
230,4.80E+03,6.97E+03,3.00E+00,0.00E+00,,,,,,230,3,0
231,4.80E+03,6.97E+03,7.00E+00,0.00E+00,,,,,,231,7,0
232,4.80E+03,6.98E+03,0.00E+00,8.00E+00,,,,,,232,0,8
233,4.81E+03,7.00E+03,6.00E+00,2.40E+01,,,,,,233,6,24
234,4.81E+03,7.00E+03,2.00E+00,0.00E+00,,,,,,234,2,0
235,4.82E+03,7.04E+03,4.00E+00,3.40E+01,,,,,,235,4,34
236,4.82E+03,7.06E+03,8.00E+00,1.90E+01,,,,,,236,8,19
237,4.84E+03,7.06E+03,1.30E+01,0.00E+00,,,,,,237,13,0
238,4.84E+03,7.07E+03,0.00E+00,1.00E+01,,,,,,238,0,10
239,4.84E+03,7.07E+03,0.00E+00,7.00E+00,,,,,,239,0,7
